,id,framerate,marker,scene,rating
404,12,120,qr,text_w,5.0
405,12,144,aruco,image,5.0
406,12,144,aruco,text_d,2.3333333333333335
407,12,144,aruco,text_w,5.0
408,12,144,point,image,4.666666666666667
409,12,144,point,text_d,1.6666666666666667
410,12,144,point,text_w,4.333333333333333
411,12,144,qr,image,5.0
412,12,144,qr,text_d,2.0
413,12,144,qr,text_w,5.0
414,12,200,aruco,image,5.0
415,12,200,aruco,text_d,4.0
416,12,200,aruco,text_w,5.0
417,12,200,point,image,4.333333333333333
418,12,200,point,text_d,3.3333333333333335
419,12,200,point,text_w,5.0
420,12,200,qr,image,5.0
421,12,200,qr,text_d,3.3333333333333335
422,12,200,qr,text_w,5.0
423,12,240,aruco,image,4.666666666666667
424,12,240,aruco,text_d,4.333333333333333
425,12,240,aruco,text_w,5.0
426,12,240,point,image,5.0
427,12,240,point,text_d,4.0
428,12,240,point,text_w,5.0
429,12,240,qr,image,5.0
430,12,240,qr,text_d,4.0
431,12,240,qr,text_w,5.0
